"","X","Sepal.Length","Sepal.Width","Petal.Length"
"1",1,5.1,3.5,1.4
"2",2,4.9,3,1.4
"3",3,4.7,3.2,1.3
"4",4,4.6,3.1,1.5
"5",5,5,3.6,1.4
"6",6,5.4,3.05,1.7
"7",7,4.6,3.4,1.4
"8",8,5.86319444444444,3.4,1.5
"9",9,4.4,2.9,1.4
"10",10,4.9,3.1,1.5
"11",11,5.4,3.7,1.5
"12",12,4.8,3.4,1.6
"13",13,5.86319444444444,3.05,1.4
"14",14,4.3,3,1.1
"15",15,5.8,4,1.2
"16",16,5.7,4.4,3.81276595744681
"17",17,5.4,3.9,1.3
"18",18,5.1,3.5,1.4
"19",19,5.7,3.8,1.7
"20",20,5.1,3.8,1.5
"21",21,5.4,3.4,1.7
"22",22,5.1,3.7,1.5
"23",23,4.6,3.6,1
"24",24,5.1,3.3,3.81276595744681
"25",25,4.8,3.4,1.9
"26",26,5,3,1.6
"27",27,5,3.4,3.81276595744681
"28",28,5.86319444444444,3.5,1.5
"29",29,5.2,3.4,1.4
"30",30,4.7,3.05,1.6
"31",31,4.8,3.1,1.6
"32",32,5.4,3.4,1.5
"33",33,5.2,4.1,1.5
"34",34,5.5,4.2,1.4
"35",35,4.9,3.1,1.5
"36",36,5,3.2,3.81276595744681
"37",37,5.5,3.5,1.3
"38",38,4.9,3.6,1.4
"39",39,4.4,3.05,1.3
"40",40,5.1,3.4,1.5
"41",41,5,3.5,1.3
"42",42,4.5,2.3,1.3
"43",43,4.4,3.2,1.3
"44",44,5,3.05,1.6
"45",45,5.1,3.8,1.9
"46",46,4.8,3,1.4
"47",47,5.1,3.8,3.81276595744681
"48",48,4.6,3.2,1.4
"49",49,5.86319444444444,3.7,1.5
"50",50,5,3.3,1.4
"51",51,7,3.2,4.7
"52",52,6.4,3.2,4.5
"53",53,6.9,3.1,3.81276595744681
"54",54,5.5,2.3,3.81276595744681
"55",55,6.5,3.05,4.6
"56",56,5.7,2.8,4.5
"57",57,6.3,3.3,4.7
"58",58,4.9,2.4,3.3
"59",59,6.6,2.9,4.6
"60",60,5.2,2.7,3.9
"61",61,5,2,3.5
"62",62,5.9,3,4.2
"63",63,6,2.2,4
"64",64,6.1,2.9,4.7
"65",65,5.6,2.9,3.6
"66",66,6.7,3.1,4.4
"67",67,5.6,3,4.5
"68",68,5.8,2.7,4.1
"69",69,6.2,2.2,4.5
"70",70,5.86319444444444,2.5,3.9
"71",71,5.9,3.2,4.8
"72",72,6.1,2.8,4
"73",73,5.86319444444444,2.5,3.81276595744681
"74",74,6.1,2.8,3.81276595744681
"75",75,6.4,2.9,4.3
"76",76,6.6,3,4.4
"77",77,6.8,2.8,4.8
"78",78,6.7,3,5
"79",79,6,2.9,4.5
"80",80,5.7,2.6,3.5
"81",81,5.5,2.4,3.8
"82",82,5.5,2.4,3.7
"83",83,5.8,2.7,3.9
"84",84,6,2.7,5.1
"85",85,5.4,3,4.5
"86",86,6,3.4,4.5
"87",87,6.7,3.1,4.7
"88",88,6.3,2.3,4.4
"89",89,5.6,3,4.1
"90",90,5.5,2.5,4
"91",91,5.5,2.6,4.4
"92",92,6.1,3,4.6
"93",93,5.8,2.6,4
"94",94,5,2.3,3.3
"95",95,5.6,2.7,4.2
"96",96,5.7,3,4.2
"97",97,5.7,2.9,4.2
"98",98,6.2,2.9,4.3
"99",99,5.1,2.5,3
"100",100,5.7,2.8,4.1
"101",101,6.3,3.3,6
"102",102,5.8,2.7,5.1
"103",103,7.1,3,5.9
"104",104,6.3,2.9,5.6
"105",105,6.5,3,5.8
"106",106,7.6,3,6.6
"107",107,4.9,2.5,4.5
"108",108,7.3,2.9,6.3
"109",109,6.7,2.5,5.8
"110",110,7.2,3.6,6.1
"111",111,6.5,3.2,5.1
"112",112,6.4,2.7,5.3
"113",113,6.8,3,5.5
"114",114,5.7,2.5,5
"115",115,5.8,2.8,5.1
"116",116,6.4,3.2,5.3
"117",117,6.5,3,5.5
"118",118,7.7,3.8,6.7
"119",119,7.7,2.6,6.9
"120",120,6,2.2,5
"121",121,6.9,3.2,5.7
"122",122,5.6,2.8,4.9
"123",123,7.7,2.8,6.7
"124",124,6.3,2.7,4.9
"125",125,6.7,3.3,5.7
"126",126,7.2,3.2,6
"127",127,6.2,2.8,4.8
"128",128,6.1,3,4.9
"129",129,6.4,2.8,5.6
"130",130,7.2,3,5.8
"131",131,7.4,2.8,6.1
"132",132,7.9,3.8,6.4
"133",133,6.4,2.8,5.6
"134",134,6.3,2.8,5.1
"135",135,6.1,2.6,5.6
"136",136,7.7,3,6.1
"137",137,6.3,3.4,5.6
"138",138,6.4,3.1,5.5
"139",139,6,3,4.8
"140",140,6.9,3.1,5.4
"141",141,6.7,3.1,5.6
"142",142,6.9,3.1,5.1
"143",143,5.8,2.7,5.1
"144",144,6.8,3.2,5.9
"145",145,6.7,3.3,5.7
"146",146,6.7,3,5.2
"147",147,6.3,2.5,5
"148",148,6.5,3,5.2
"149",149,6.2,3.4,5.4
"150",150,5.9,3,5.1
